City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Axim,GH,4.8699,-2.2405,78.84,87,11,5.5,light rain
213,Shenjiamen,CN,29.9576,122.298,43.61,78,81,16.06,broken clouds
214,Bay City,US,43.5945,-83.8889,19.58,57,100,6.91,overcast clouds
215,Aklavik,CA,68.2191,-135.0107,-21.17,75,75,5.75,broken clouds
216,Sur,OM,22.5667,59.5289,72.0,68,0,8.72,clear sky
217,Iwanai,JP,42.9744,140.5089,26.65,91,95,5.99,overcast clouds
218,Bosaso,SO,11.2842,49.1816,73.09,73,24,2.48,few clouds
219,Baoqing,CN,46.3317,132.2111,-6.18,100,99,1.77,overcast clouds
220,Tilichiki,RU,60.4667,166.1,-19.46,93,7,10.27,clear sky
221,Tchollire,CM,8.4022,14.1698,75.96,14,100,0.83,overcast clouds
222,Kyaikkami,MM,16.08,97.5675,76.35,52,93,3.11,overcast clouds
223,Cap-Aux-Meules,CA,47.3821,-61.8597,15.85,73,75,16.11,broken clouds
224,Migori,KE,-1.0634,34.4731,64.62,74,94,6.67,overcast clouds
225,Kahului,US,20.8947,-156.47,78.96,73,40,12.66,scattered clouds
226,Narsaq,GL,60.9167,-46.05,26.82,89,100,7.07,overcast clouds
227,Zhigansk,RU,66.7697,123.3711,-36.94,100,58,2.17,broken clouds
228,Pevek,RU,69.7008,170.3133,-17.37,98,100,9.08,overcast clouds
229,Ostrovnoy,RU,68.0531,39.5131,17.19,64,100,19.69,overcast clouds
230,Nantucket,US,41.2835,-70.0995,37.51,86,100,17.27,overcast clouds
231,Laguna,US,38.421,-121.4238,80.44,40,0,4.61,clear sky
232,Yinchuan,CN,38.4681,106.2731,19.8,55,86,7.02,overcast clouds
233,Isangel,VU,-19.55,169.2667,80.71,94,40,2.3,volcanic ash
234,Norilsk,RU,69.3535,88.2027,-10.91,79,17,7.63,few clouds
235,Yellowknife,CA,62.456,-114.3525,-9.58,67,20,4.61,few clouds
236,Caravelas,BR,-17.7125,-39.2481,77.74,81,80,6.58,broken clouds
237,Tasiilaq,GL,65.6145,-37.6368,19.56,70,100,10.87,overcast clouds
238,Kawhia,NZ,-38.0651,174.8183,69.15,64,1,3.47,clear sky
239,Talnakh,RU,69.4865,88.3972,-7.1,69,16,8.99,few clouds
240,Shakawe,BW,-18.3667,21.85,69.31,85,48,1.3,scattered clouds
241,Jumla,NP,29.2747,82.1838,28.42,73,1,6.49,clear sky
242,Ust-Kuyga,RU,70.0167,135.6,-12.05,90,100,6.8,overcast clouds
243,Namibe,AO,-15.1961,12.1522,75.36,80,100,0.83,overcast clouds
244,Namwala,ZM,-15.7504,26.4384,65.23,95,25,2.39,scattered clouds
245,Sorong,ID,-0.8833,131.25,77.16,88,100,7.27,overcast clouds
246,Katsuura,JP,35.1333,140.3,38.1,97,100,29.44,light rain
247,Port Lincoln,AU,-34.7333,135.8667,66.34,83,95,10.07,overcast clouds
248,Canon City,US,38.441,-105.2424,59.16,21,0,13.8,clear sky
249,Port-Gentil,GA,-0.7193,8.7815,76.96,94,75,1.14,broken clouds
250,Catuday,PH,16.2923,119.8062,76.93,79,92,10.07,overcast clouds
251,Havelock,US,34.8791,-76.9013,46.38,88,100,5.99,light rain
252,Roald,NO,62.5833,6.1333,43.16,100,75,2.3,broken clouds
253,Zyryanskoye,RU,56.8306,86.6258,4.95,96,100,10.49,light snow
254,Champerico,GT,14.3,-91.9167,95.54,56,2,12.33,clear sky
255,Bethel,US,41.3712,-73.414,31.05,67,100,9.22,overcast clouds
256,Kotido,UG,2.9806,34.1331,78.03,31,48,9.89,scattered clouds
257,Marshall,US,34.3834,-86.3333,46.58,36,0,10.36,clear sky
258,Gazojak,TM,41.1875,61.4036,42.48,69,99,20.18,overcast clouds
259,Tazovskiy,RU,67.4667,78.7,-9.74,97,26,10.87,scattered clouds
260,Sabha,LY,27.0377,14.4283,55.89,25,0,8.81,clear sky
261,Guiratinga,BR,-16.3494,-53.7583,79.29,83,56,3.0,broken clouds
262,Verkhnevilyuysk,RU,63.4453,120.3167,-22.79,100,100,2.24,overcast clouds
263,Kuytun,RU,54.3419,101.5036,-26.52,100,100,3.22,overcast clouds
264,Hervey Bay,AU,-25.2986,152.8535,70.03,77,14,18.66,few clouds
265,Upata,VE,8.0086,-62.3989,80.58,58,100,2.44,overcast clouds
266,Turkan,AZ,40.3639,50.215,41.18,65,75,18.41,broken clouds
267,Yumen,CN,40.2833,97.2,27.01,42,100,13.15,overcast clouds
268,Antofagasta,CL,-23.65,-70.4,72.21,65,81,10.18,broken clouds
269,Ust-Kut,RU,56.7938,105.7672,-29.9,100,35,2.64,scattered clouds
270,Dongsheng,CN,39.8161,109.9776,7.36,62,72,0.76,broken clouds
271,Akcakoca,TR,41.0866,31.1162,43.12,88,100,4.41,overcast clouds
272,Yulara,AU,-25.2406,130.9889,66.04,42,2,9.22,clear sky
273,Ishigaki,JP,24.3448,124.1572,66.78,82,100,24.92,overcast clouds
274,Parrita,CR,9.5201,-84.3225,92.26,59,8,6.64,clear sky
275,Castrillon,ES,43.3979,-6.7922,48.74,92,83,8.57,broken clouds
276,Mandera,KE,3.9366,41.867,84.58,21,100,10.51,overcast clouds
277,Kormend,HU,47.011,16.606,28.33,62,4,6.89,clear sky
278,Inhambane,MZ,-23.865,35.3833,76.64,84,1,8.55,clear sky
279,Vostok,RU,46.4856,135.8833,2.52,98,100,1.03,overcast clouds
280,Ambunti,PG,-4.2365,142.8448,72.97,100,100,0.63,overcast clouds
281,Tanete,ID,-3.9443,119.7848,73.67,94,100,2.59,overcast clouds
282,Long,TH,18.0761,99.8326,74.39,48,72,3.13,broken clouds
283,Dhidhdhoo,MV,6.8833,73.1,78.64,80,100,5.93,overcast clouds
284,Amahai,ID,-3.3333,128.9167,76.08,89,100,1.34,overcast clouds
285,Santarem,BR,-2.4431,-54.7083,84.33,79,20,8.05,few clouds
286,Bac Lieu,VN,9.285,105.7244,78.91,81,15,13.06,few clouds
287,Mar Del Plata,AR,-38.0023,-57.5575,71.62,64,0,11.5,clear sky
288,Ahipara,NZ,-35.1667,173.1667,65.93,65,86,9.37,overcast clouds
289,Beringovskiy,RU,63.05,179.3167,-26.91,97,16,6.96,few clouds
290,Talaya,RU,61.3833,152.75,-40.16,100,84,1.32,broken clouds
291,Estacion Coahuila,MX,32.1939,-115.0017,85.96,8,2,10.45,clear sky
292,Le Port,RE,-20.9373,55.2919,80.6,79,30,2.82,scattered clouds
293,Fortuna,US,40.5982,-124.1573,50.92,100,0,9.22,clear sky
294,Los Llanos De Aridane,ES,28.6585,-17.9182,61.12,67,20,6.91,few clouds
295,Caborca,MX,30.5838,-111.101,80.55,7,7,4.18,clear sky
296,Sungaipenuh,ID,-2.0833,101.3833,62.89,92,88,1.88,overcast clouds
297,Opuwo,NA,-18.0607,13.84,69.58,85,100,7.25,light rain
298,Vagur,FO,61.4732,-6.8119,36.09,76,100,32.75,overcast clouds
299,Kangaatsiaq,GL,68.3065,-53.4641,-3.17,88,100,41.9,overcast clouds
300,Codrington,AU,-38.2667,141.9667,62.58,82,67,6.96,broken clouds
301,Cedar City,US,37.6775,-113.0619,59.4,15,0,6.91,clear sky
